X,Y,OBJECTID,name_e,nom_f,Label_e,Etiquette_f,min_scale_echelle,max_scale_echelle,url_e,url_f,Facility_Type_Installation,Public_Access,Accessible
-117.227592847188191,52.220260305171074,164537,ICEFIELD CENTRE,,ICEFIELD CENTRE,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.049977613822421,52.962654551618911,164538,Palisades,Palisades,Palisades,Palisades,,,,,Washroom Facility//Toilettes,Yes//Oui,Yes//Oui
-118.05310373095412,52.995162231745311,164539,Airport Picnic Outhouse,,Airport Picnic Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.987619905772092,53.109266859173573,164540,Talbot Lake Outhouse,,Talbot Lake Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.223359721909631,52.863139669777716,164541,Hwy 16 west Outhouse,,Hwy 16 west Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,Yes//Oui
-118.044245142308071,52.905097278329293,164542,Lake Annette Outhouse,,Lake Annette Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.043011753543482,52.906674135666123,164543,Lake Edith OUthouse,,Lake Edith OUthouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.045488331335235,52.914469125002249,164544,Lake Edith Outhouse - Dock,,Lake Edith Outhouse - Dock,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.030892896146042,52.933247818194076,164545,Sixth Bridge Outhouse,,Sixth Bridge Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.015898277742878,52.920912417376485,164546,Fifth Bridge Outhouse,,Fifth Bridge Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.015916461874241,52.921310973961837,164547,Fifth Bridge Picnic,,Fifth Bridge Picnic,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-118.000870587952008,52.920953782963856,164548,Maligne Canyon Picnic,,Maligne Canyon Picnic,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-117.999950810925569,52.920401644277177,164549,Maligne Canyon Outhouse,,Maligne Canyon Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.805161710180428,52.869777186909467,164550,Maligne Lake Overflow - Outhouse,,Maligne Lake Overflow - Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.723166264233186,52.84885308099544,164551,Beaver Lake Outhouse,,Beaver Lake Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.685875783404597,52.771199622913748,164552,Bruce's Picnic Site Outhouse,,Bruce's Picnic Site Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,Yes//Oui
-117.637518915368616,52.729239825640342,164553,Maligne Lake Lower Parking Outhouse,,Maligne Lake Lower Parking Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.644923773928937,52.726843685997096,164554,Maligne Lake Boat Launch Outhouse,,Maligne Lake Boat Launch Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.076478881375792,52.781230117720717,164555,Portal Creek Outhouse,,Portal Creek Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.973428184604671,52.746984749076105,164556,Otto's Cache Outhouse,,Otto's Cache Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.954974094475716,52.735059858148404,164557,Meeting of the Waters Outhouse,,Meeting of the Waters Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,Yes//Oui
-117.902709230618242,52.693322707292346,164558,Leach Lake Outhouse,,Leach Lake Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.889571203749242,52.665351452716386,164559,Geraldine Lake Road Outhouse,,Geraldine Lake Road Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.05593811879524,52.687428378775927,164560,Edith Cavell Outhouse,,Edith Cavell Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.092430607292613,52.91054116230135,164561,Patricia Lake Outhouse,,Patricia Lake Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.091198932180362,52.892332861713129,164562,Cottonwood Slough Outhouse,,Cottonwood Slough Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.101719765453211,52.916004804336332,164563,Pyramid Lake Outhouse,,Pyramid Lake Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.095388640075569,52.923938940696154,164564,Pyramid Island Outhouse,,Pyramid Island Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.062093825704508,52.871339742868763,164565,Old Fort Point Outhouse,,Old Fort Point Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.06328326834074,52.879611726534122,164566,Lac Beauvert Outhouse,,Lac Beauvert Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.977131455700331,53.146069698115411,164567,Jasper House Outhouse,,Jasper House Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.925958215903904,53.203622681971829,164568,Poco Coal Mine Outhouse,,Poco Coal Mine Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.881817884171681,52.665046141617815,164569,Athabasca Falls Picnic,,Athabasca Falls Picnic,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-117.644918801921762,52.533027311587354,164570,Sunwapta Falls Picnic Site,,Sunwapta Falls Picnic Site,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-117.18343791955094,52.218371858401348,164571,Wilcox Pass Trailhead Outhouse,,Wilcox Pass Trailhead Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.95526015562281,52.669435475758917,164572,Moab Lake Outhouse,,Moab Lake Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.394121124704967,52.882534519958284,164573,West Gate Outhouse,,West Gate Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.972267190234007,53.1734443336045,164574,Disaster Point Outhouse,,Disaster Point Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.882301466293242,52.894647529008424,164575,Lower Maligne Picnic Outhouse,,Lower Maligne Picnic Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.111033859550474,53.050168589978448,164576,Moberly Building Outhouse,,Moberly Building Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.902752179348454,52.693685333044165,164577,Boat Launch Leach Lake,,Boat Launch Leach Lake,,,,,,Boat Launch Facility//Rampe de mise à l'eau,Yes//Oui,No//Non
-118.062981198481054,52.871154090168496,164578,Old Fort Point Boating Access,,Old Fort Point Boating Access,,,,,,Boat Launch Facility//Rampe de mise à l'eau,Yes//Oui,No//Non
-118.089319963291658,52.903219118616292,164579,Pyramid Riding Stables Outhouse,,Pyramid Riding Stables Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.089455874837711,52.915282378520985,164580,Pyramid Lake Outhouse,,Pyramid Lake Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-117.103135827074965,52.261248938551461,164581,Boulder Creek ,Ruisseau-Boulder,Boulder Creek ,Ruisseau-Boulder,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.076678274129449,52.280508851927557,164582,Four Point ,Four Point,Four Point ,Four Point,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.027602300980831,52.327847482340559,164583,Wolverine South ,Wolverine Sud,Wolverine South ,Wolverine Sud,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.118064202832699,52.381779189325201,164584,John-John ,John-John,John-John ,John-John,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.005776001109538,52.393570434100006,164585,Brazeau River ,Rivière-Brazeau,Brazeau River ,Rivière-Brazeau,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-116.985422170755371,52.39421698215709,164586,"Brazeau Meadows 
",Prés-Brazeau,"Brazeau Meadows 
",Prés-Brazeau,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.207366898791165,52.395519425364647,164587,Jonas Cutoff ,Embranchement-Jonas,Jonas Cutoff ,Embranchement-Jonas,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.035437724282261,52.400676631761421,164588,Brazeau Lake ,Lac-Brazeau,Brazeau Lake ,Lac-Brazeau,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.22509127311406,52.404279583678886,164589,"McCready 
",McCready,"McCready 
",McCready,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.658222391631057,52.419489410103694,164590,Athabasca Crossing ,Traverse-de-l'Athabasca,Athabasca Crossing ,Traverse-de-l'Athabasca,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-118.197089932506771,52.431402380508935,164591,"Kane Meadows 
",Prés-Kane,"Kane Meadows 
",Prés-Kane,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.302316794856267,52.446757148381913,164592,Waterfalls ,Waterfalls,Waterfalls ,Waterfalls,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.350556265099172,52.468057249317184,164593,Poboktan,Poboktan,Poboktan,Poboktan,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-116.902134081650019,52.469983583844915,164594,Arête ,Arête ,Arête ,Arête ,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.656818387941158,52.484395448365085,164595,Big Bend ,Big Bend,Big Bend ,Big Bend,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
