"REF_DATE","GEO","DGUID","Population characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Yukon","2016A000260","Total population density","Number per square kilometre","229","units ","0","v32163917","12.4","","0s","","","1"
"1971","Yukon","2016A000260","Urban population as a share of total population","Percent","239","units ","0","v32163921","12.8","61.0","","","","1"
"1971","Yukon","2016A000260","Rural population as a share of total population","Percent","239","units ","0","v32163925","12.12","39.0","","","","1"
"1971","Yukon","2016A000260","Total private dwellings","Number","223","units ","0","v32163926","12.13","5096","","","","0"
"1971","Yukon","2016A000260","Urban private dwellings","Number","223","units ","0","v52150007","12.16","3240","","","","0"
"1971","Yukon","2016A000260","Rural private dwellings","Number","223","units ","0","v52150022","12.17","1856","","","","0"
"1971","Yukon","2016A000260","Private dwelling density","Number per square kilometre","229","units ","0","v32163927","12.14","","0s","","","1"
"1971","Yukon","2016A000260","Population per private dwelling","Number","223","units ","0","v32163928","12.15","3.6","","","","1"
"1971","Yukon","2016A000260","Population per urban private dwelling","Number","223","units ","0","v52150037","12.18","3.5","","","","1"
"1971","Yukon","2016A000260","Population per rural private dwelling","Number","223","units ","0","v52150052","12.19","3.9","","","","1"
"1971","Northwest Territories including Nunavut","","Total population","Number","223","units ","0","v32163929","13.1","34825","","","t","0"
"1971","Northwest Territories including Nunavut","","Urban population","Number","223","units ","0","v32163933","13.5","16840","","","t","0"
"1971","Northwest Territories including Nunavut","","Rural population","Number","223","units ","0","v32163937","13.9","17985","","","t","0"
"1971","Northwest Territories including Nunavut","","Total population density","Number per square kilometre","229","units ","0","v32163932","13.4","","0s","","t","1"
"1971","Northwest Territories including Nunavut","","Urban population as a share of total population","Percent","239","units ","0","v32163936","13.8","48.4","","","t","1"
"1971","Northwest Territories including Nunavut","","Rural population as a share of total population","Percent","239","units ","0","v32163940","13.12","51.6","","","t","1"
"1971","Northwest Territories including Nunavut","","Total private dwellings","Number","223","units ","0","v32163941","13.13","7576","","","t","0"
"1971","Northwest Territories including Nunavut","","Urban private dwellings","Number","223","units ","0","v52150008","13.16","4212","","","t","0"
"1971","Northwest Territories including Nunavut","","Rural private dwellings","Number","223","units ","0","v52150023","13.17","3364","","","t","0"
"1971","Northwest Territories including Nunavut","","Private dwelling density","Number per square kilometre","229","units ","0","v32163942","13.14","","0s","","t","1"
"1971","Northwest Territories including Nunavut","","Population per private dwelling","Number","223","units ","0","v32163943","13.15","4.6","","","t","1"
"1971","Northwest Territories including Nunavut","","Population per urban private dwelling","Number","223","units ","0","v52150038","13.18","4.0","","","t","1"
"1971","Northwest Territories including Nunavut","","Population per rural private dwelling","Number","223","units ","0","v52150053","13.19","5.3","","","t","1"
"1976","Canada","2016A000011124","Total population","Number","223","units ","0","v32163749","1.1","22992603","","","","0"
"1976","Canada","2016A000011124","Urban population","Number","223","units ","0","v32163753","1.5","17366970","","","","0"
"1976","Canada","2016A000011124","Rural population","Number","223","units ","0","v32163757","1.9","5625625","","","","0"
"1976","Canada","2016A000011124","Total population density","Number per square kilometre","229","units ","0","v32163752","1.4","2.6","","","","1"
"1976","Canada","2016A000011124","Urban population as a share of total population","Percent","239","units ","0","v32163756","1.8","75.5","","","","1"
"1976","Canada","2016A000011124","Rural population as a share of total population","Percent","239","units ","0","v32163760","1.12","24.5","","","","1"
"1976","Canada","2016A000011124","Total private dwellings","Number","223","units ","0","v32163761","1.13","7166095","","","","0"
"1976","Canada","2016A000011124","Urban private dwellings","Number","223","units ","0","v52149996","1.16","5613046","","","","0"
"1976","Canada","2016A000011124","Rural private dwellings","Number","223","units ","0","v52150011","1.17","1553049","","","","0"
"1976","Canada","2016A000011124","Private dwelling density","Number per square kilometre","229","units ","0","v32163762","1.14","0.8","","","","1"
"1976","Canada","2016A000011124","Population per private dwelling","Number","223","units ","0","v32163763","1.15","3.2","","","","1"
"1976","Canada","2016A000011124","Population per urban private dwelling","Number","223","units ","0","v52150026","1.18","3.1","","","","1"
"1976","Canada","2016A000011124","Population per rural private dwelling","Number","223","units ","0","v52150041","1.19","3.6","","","","1"
"1976","Newfoundland and Labrador","2016A000210","Total population","Number","223","units ","0","v32163764","2.1","557725","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Urban population","Number","223","units ","0","v32163768","2.5","328265","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Rural population","Number","223","units ","0","v32163772","2.9","229450","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Total population density","Number per square kilometre","229","units ","0","v32163767","2.4","1.5","","","","1"
"1976","Newfoundland and Labrador","2016A000210","Urban population as a share of total population","Percent","239","units ","0","v32163771","2.8","58.9","","","","1"
"1976","Newfoundland and Labrador","2016A000210","Rural population as a share of total population","Percent","239","units ","0","v32163775","2.12","41.1","","","","1"
